Name,Team,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,AVG,BB%,K%,OBP,SLG,OPS,wOBA,wRC+,EV,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Ben Gamel","NYM",2,1,0,0,0,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0,0.5,0.34552276134490967,129.23371389382572,102.43791961669922,0,1,"Ben Gamel",12160,592325
"Brian Anderson","ATL",5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0.4,0,0,0,0,-100,101.55605061848958,0.33333333,1,"Brian Anderson",18289,605119
"José Tena","CLE",3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0.666666666,0,0,0,0,-100,99.61722564697266,0,1,"Jose Tena",23691,677588
"Greg Jones","COL",6,5,1,0,0,0,1,1,1,1,0,4,0,0.2,0.166666666,0.666666666,0.333333333,0.8,1.133333333,0.45952614148457843,187.2449488269285,109.681396484375,1,1,"Greg Jones",25448,675659
"James Wood","WSN",9,7,1,1,0,0,0,0,0,2,0,1,0,0.142857142,0.222222222,0.111111111,0.333333333,0.142857142,0.476190475,0.25195833709504867,60.367314238554094,99.57470703125,0,0.83333333,"James Wood",29518,695578
"Jhonny Pereda","MIA",5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,-100,95.21852111816406,0,0.75,"Jhonny Pereda",19802,640902
"Aaron Judge","NYY",374,305,98,42,23,1,32,67,83,61,6,93,5,0.321311475,0.163101604,0.248663101,0.439678284,0.718032786,1.15771107,0.47834733266596574,217.99081683015316,97.08031431686047,0.28837209,0.62790698,"Aaron Judge",15640,592450
"David Bote","CHC",24,23,7,6,1,0,0,2,2,1,0,7,0,0.304347826,0.041666666,0.291666666,0.333333333,0.347826086,0.681159419,0.3027588625748952,96.40492379987522,90.73758697509766,0.0625,0.625,"David Bote",14593,623520
"Ryan Vilade","DET",10,9,2,2,0,0,0,0,3,1,0,1,0,0.222222222,0.1,0.1,0.3,0.222222222,0.522222222,0.24621134996414185,56.598573723848986,89.28952026367188,0,0.625,"Ryan Vilade",22165,668723
"Shohei Ohtani","LAD",380,328,105,54,22,2,27,69,64,45,4,78,2,0.320121951,0.118421052,0.205263157,0.402116402,0.646341463,1.048457865,0.4394284158466972,191.10765074988097,95.46206907242063,0.19215686,0.6,"Shohei Ohtani",19755,660271
